,recall,throughput,m,nbits,nlist,nprobe
0,0.886,43.4334,64,8,100,5
1,0.966,43.066,64,8,100,10
2,0.988,42.5882,64,8,100,20
3,0.665,43.388,64,8,400,5
4,0.842,42.9032,64,8,400,10
5,0.949,43.3691,64,8,400,20
6,0.768,43.3586,64,8,200,5
7,0.916,43.5045,64,8,200,10
8,0.977,43.1874,64,8,200,20
