,recall,throughput,m,nbits,nlist,nprobe
0,0.922,41.7084,64,8,400,5
1,0.978,39.605,64,8,400,10
2,0.99,24.1073,64,8,400,20
3,0.952,39.8555,64,8,200,5
4,0.986,29.4887,64,8,200,10
5,0.991,15.6343,64,8,200,20
6,0.971,29.3813,64,8,100,5
7,0.989,16.8509,64,8,100,10
8,0.99,9.7914,64,8,100,20
