,recall,throughput,m,nbits,nlist,nprobe
0,0.992,43.1144,64,8,100,5
1,0.992,43.7193,64,8,100,10
2,0.992,42.218,64,8,100,20
3,0.982,42.9142,64,8,400,5
4,0.994,43.3137,64,8,400,10
5,0.995,42.832,64,8,400,20
6,0.994,41.945,64,8,200,5
7,0.994,42.5546,64,8,200,10
8,0.994,42.83,64,8,200,20
