,recall,throughput,m,nbits,nlist,nprobe
0,0.818,11.0128,64,12,200,5
1,0.94,6.2608,64,12,200,10
2,0.989,3.0349,64,12,200,20
3,0.899,11.0056,64,12,100,5
4,0.978,6.2254,64,12,100,10
5,0.997,2.8992,64,12,100,20
6,0.737,10.4368,64,12,400,5
7,0.902,6.0636,64,12,400,10
8,0.978,2.9271,64,12,400,20
