,recall,throughput,m,nbits,nlist,nprobe
0,0.974,10.4264,64,12,400,5
1,0.984,5.8628,64,12,400,10
2,0.989,2.5374,64,12,400,20
3,0.998,10.5931,64,12,100,5
4,0.999,5.4807,64,12,100,10
5,1.0,2.607,64,12,100,20
6,0.998,10.6784,64,12,200,5
7,1.0,5.7849,64,12,200,10
8,1.0,2.6407,64,12,200,20
